symbol,entry_time,exit_time,entry_price,exit_price,pnl_log_return,zscore,vol,atr,position,rebalance_index
DOGEUSDT,2022-01-12 05:00:00,2022-01-12 07:00:00,0.153,0.1521,-0.00589972212718816,1.1059806604132818,0.027312948115019223,0.0004538461538461508,long,200
DOGEUSDT,2022-01-13 17:00:00,2022-01-14 23:00:00,0.1628,0.1832,0.11805599867159006,1.905172623500455,0.01658405989637172,0.0023076923076923014,long,236
DOGEUSDT,2022-01-25 17:00:00,2022-01-27 01:00:00,0.1423,0.1393,-0.02130762431004672,0.8550268698452612,0.010758628352396033,0.001176923076923082,long,524
DOGEUSDT,2022-02-05 05:00:00,2022-02-05 06:00:00,0.1499,0.1488,-0.007365282709560684,1.5263242838938416,0.00743195903633999,0.0006999999999999976,long,776
DOGEUSDT,2022-02-08 05:00:00,2022-02-08 07:00:00,0.1677,0.165,-0.016231194928582438,1.7011201251447352,0.009520702215155037,0.0014692307692307717,long,848
DOGEUSDT,2022-02-15 17:00:00,2022-02-16 13:00:00,0.1493,0.1471,-0.014845076937752704,0.6795620090937766,0.006858049330512511,0.0005461538461538501,long,1028
DOGEUSDT,2022-03-01 05:00:00,2022-03-03 05:00:00,0.1321,0.1324,0.0022684319746282657,1.7046181628054717,0.009115189024414124,0.0007307692307692229,long,1352
DOGEUSDT,2022-03-17 17:00:00,2022-03-18 00:00:00,0.1168,0.1151,-0.014661754666289753,1.3658247167922644,0.005583837808566363,0.00035384615384615115,long,1748
DOGEUSDT,2022-03-23 17:00:00,2022-03-25 17:00:00,0.128,0.1298,0.013964540350372322,0.7962742650893203,0.011556374083486868,0.0010153846153846157,long,1892
DOGEUSDT,2022-03-28 05:00:00,2022-03-28 06:00:00,0.1503,0.1484,-0.01272196602564862,1.9487386752762885,0.009836057649395758,0.0010384615384615437,long,2000
DOGEUSDT,2022-04-06 05:00:00,2022-04-06 09:00:00,0.1619,0.1579,-0.02501693942199285,1.6700996546875144,0.023732837004657524,0.0023923076923076936,long,2216
DOGEUSDT,2022-04-10 17:00:00,2022-04-10 21:00:00,0.1551,0.1525,-0.016905474135026716,1.5069756097536942,0.010490651171734401,0.0014692307692307654,long,2324
DOGEUSDT,2022-04-15 05:00:00,2022-04-16 13:00:00,0.1459,0.1438,-0.014498010241793586,1.6010541191347445,0.013619788386655715,0.0013461538461538496,long,2432
DOGEUSDT,2022-04-25 17:00:00,2022-04-26 14:00:00,0.1506,0.1504,-0.001328903850053752,1.173852845503519,0.030218999478845484,0.002592307692307693,long,2684
DOGEUSDT,2022-05-04 17:00:00,2022-05-05 15:00:00,0.1308,0.1274,-0.026337695885035234,0.9412927297420424,0.005936099952288414,0.0007076923076923045,long,2900
DOGEUSDT,2022-05-07 17:00:00,2022-05-07 21:00:00,0.13,0.1255,-0.03522869188374383,0.661412434024202,0.007856006161797682,0.0009230769230769154,long,2972
DOGEUSDT,2022-05-13 17:00:00,2022-05-14 13:00:00,0.0884,0.0848,-0.04157642684574044,0.5782717124364488,0.025042388480467737,0.0016076923076923056,long,3116
DOGEUSDT,2022-05-22 17:00:00,2022-05-23 19:00:00,0.0851,0.0837,-0.016588058083898842,0.5144330690948055,0.00669073672379002,0.00043076923076922926,long,3332
DOGEUSDT,2022-05-30 05:00:00,2022-05-31 13:00:00,0.08501,0.08389,-0.013262479771064251,1.2781929298359451,0.006316856095498879,0.00044692307692307555,long,3512
DOGEUSDT,2022-06-06 17:00:00,2022-06-07 00:00:00,0.08218,0.07938,-0.03466551610034429,1.225316748893616,0.006555469233712159,0.00037384615384615305,long,3692
OPUSDT,2022-06-11 05:00:00,2022-06-11 08:00:00,0.895,0.874,-0.023743342619319943,0.5362880087724361,0.028567330839004906,0.013153846153846165,long,168
DOGEUSDT,2022-06-20 05:00:00,2022-06-22 03:00:00,0.05837,0.06279,0.07299376591031838,0.8582093453322174,0.023365787105498907,0.0010107692307692307,long,4016
OPUSDT,2022-06-20 05:00:00,2022-06-20 19:00:00,0.481,0.494,0.026668247082161273,0.6903822086061115,0.02467786821636111,0.009615384615384625,long,384
DOGEUSDT,2022-06-21 17:00:00,2022-06-22 01:00:00,0.06618,0.06361,-0.0396076118027533,1.6434299227411933,0.01945627142656973,0.0012930769230769257,long,4052
OPUSDT,2022-06-21 17:00:00,2022-06-21 19:00:00,0.554,0.534,-0.03676884778708904,1.4013625069173148,0.021544040091050945,0.012230769230769241,long,420
OPUSDT,2022-06-24 17:00:00,2022-06-25 12:00:00,0.591,0.577,-0.023973750897998632,1.9423419819180712,0.027519763567370185,0.01407692307692308,long,492
DOGEUSDT,2022-06-24 17:00:00,2022-06-26 17:00:00,0.06586,0.07367,0.11206438374650388,1.4138042518143128,0.007909537674744619,0.00045461538461538344,long,4124
OPUSDT,2022-07-05 05:00:00,2022-07-05 08:00:00,0.56,0.541,-0.034517504882713386,1.9367056358855288,0.010902217290921622,0.005461538461538449,long,744
DOGEUSDT,2022-07-05 05:00:00,2022-07-05 07:00:00,0.06955,0.06885,-0.010115693194788195,1.727029020470436,0.006360234378539301,0.00031846153846153775,long,4376
DOGEUSDT,2022-07-08 05:00:00,2022-07-08 08:00:00,0.07063,0.06932,-0.01872151857342541,2.5523111602618314,0.008038040378251607,0.0005030769230769223,long,4448
OPUSDT,2022-07-08 05:00:00,2022-07-08 08:00:00,0.588,0.567,-0.03636764417087483,1.7631912731463755,0.017722869795515253,0.009615384615384625,long,816
DOGEUSDT,2022-07-15 17:00:00,2022-07-16 06:00:00,0.06259,0.06191,-0.010923803405469426,1.2711009710859555,0.008108535656474259,0.0003784615384615353,long,4628
OPUSDT,2022-07-15 17:00:00,2022-07-17 17:00:00,0.481,0.563,0.1574123580339291,0.5022692553463711,0.01894052143555489,0.006615384615384621,long,996
OPUSDT,2022-07-17 05:00:00,2022-07-19 03:00:00,0.55,0.743,0.3007777664912425,1.8119371962343411,0.019243076750032936,0.0068461538461538525,long,1032
DOGEUSDT,2022-07-17 05:00:00,2022-07-17 12:00:00,0.06448,0.06399,-0.0076282770470037595,1.294011067433825,0.006592647657717173,0.0002576923076923092,long,4664
OPUSDT,2022-07-18 17:00:00,2022-07-19 03:00:00,0.73,0.743,0.017651510575322334,3.279836792089546,0.03434359380264261,0.020153846153846165,long,1068
DOGEUSDT,2022-07-18 17:00:00,2022-07-18 19:00:00,0.06663,0.06569,-0.01420821967006412,2.013950552467514,0.010577983459910824,0.0004938461538461567,long,4700
DOGEUSDT,2022-07-20 05:00:00,2022-07-20 17:00:00,0.07151,0.07008,-0.020199853432168607,2.106589898585424,0.00962793104777029,0.0004723076923076928,long,4736
OPUSDT,2022-07-23 05:00:00,2022-07-23 08:00:00,0.913,0.881,-0.035678254658789044,0.9879520651626326,0.025389041205110905,0.018076923076923077,long,1176
OPUSDT,2022-07-24 17:00:00,2022-07-25 02:00:00,0.931,0.871,-0.06661730042456433,1.80953686936873,0.022398047063745995,0.013538461538461534,long,1212
DOGEUSDT,2022-07-24 17:00:00,2022-07-24 22:00:00,0.06829,0.06767,-0.009120392728863886,0.8244951783271514,0.005602475554556769,0.0002869230769230756,long,4844
OPUSDT,2022-07-27 17:00:00,2022-07-29 11:00:00,0.873,1.528,0.5597794138868636,0.8856174701881658,0.013568771853596463,0.008230769230769238,long,1284
OPUSDT,2022-07-29 05:00:00,2022-07-29 10:00:00,1.668,1.574,-0.058005153941343396,3.3229484757279146,0.037221866389092945,0.03876923076923077,long,1320
DOGEUSDT,2022-07-29 05:00:00,2022-07-29 06:00:00,0.07152,0.07063,-0.01252214744442783,3.0832787230061705,0.011320023963195607,0.0005769230769230763,long,4952
DOGEUSDT,2022-07-30 17:00:00,2022-07-30 19:00:00,0.07242,0.07054,-0.026302579529589067,1.0927618064690054,0.016744724050662022,0.0008830769230769256,long,4988
