timestamp,rolling_sharpe,rolling_drawdown
2022-02-24 16:00:00,0.03939476926297382,-0.04768256135168525
2022-02-24 16:00:00,-0.02269757910220039,-0.13256804330069605
2022-02-25 16:00:00,-0.07364232579484424,-0.21055825191863897
2022-02-25 16:00:00,-0.12073459566358001,-0.2698758099864468
2022-02-26 16:00:00,-0.15766795223649369,-0.3185848601459287
2022-02-28 16:00:00,-0.14446150787247874,-0.30933460402902135
2022-03-03 16:00:00,-0.12285205685568,-0.2771829205896511
2022-03-08 16:00:00,-0.15596403214937044,-0.3435810379434229
2022-03-09 16:00:00,-0.15312258789029726,-0.3689042325783227
2022-03-09 16:00:00,-0.08522030721140987,-0.3434496422213251
2022-03-09 16:00:00,-0.042668649195804015,-0.3391047488533192
2022-03-09 16:00:00,-0.039169497760641256,-0.3532556535532141
2022-03-15 16:00:00,-0.009500759382237704,-0.37451369164326187
2022-03-15 16:00:00,-0.03359958222961334,-0.4014172088463791
2022-03-20 16:00:00,-0.0031766479029921705,-0.38112283170464223
2022-03-20 16:00:00,0.03391618293823098,-0.3449016440743664
2022-03-20 16:00:00,0.0910210179828227,-0.29169885312468635
2022-03-20 16:00:00,0.12938975317070786,-0.23813992463740563
2022-03-24 16:00:00,0.13959585496659738,-0.2382848544317997
2022-03-25 16:00:00,0.15258233591073905,-0.20492076400889847
2022-03-25 16:00:00,0.18651188357930681,-0.1313624010448594
2022-03-29 16:00:00,0.17817195837668443,-0.09479307589360819
2022-03-30 16:00:00,0.18491579993276136,0.0
2022-04-03 16:00:00,0.1435867855868159,0.0
2022-04-10 16:00:00,0.1438091976241029,0.0
2022-04-10 16:00:00,0.08899137886219986,-0.11449316269727416
2022-04-10 16:00:00,0.1623682516399045,0.0
2022-04-10 16:00:00,0.17908471202504872,0.0
2022-04-10 16:00:00,0.17512890341263182,0.0
2022-04-13 16:00:00,0.19306008084811438,-0.03519601189429189
2022-04-17 16:00:00,0.1734192097166643,-0.0535089980970993
2022-04-18 16:00:00,0.21279454823056926,-0.06909668109836797
2022-04-18 16:00:00,0.2558941020537393,-0.08445845788603645
2022-04-18 16:00:00,0.2901496311042693,-0.10287657114175419
2022-04-19 16:00:00,0.3367083946944641,-0.09601510026971838
2022-04-25 16:00:00,0.29174800506792703,-0.15013579891654805
2022-04-25 16:00:00,0.2465994022553359,-0.18369837763781582
2022-04-25 16:00:00,0.3065612705532292,-0.1824796773190932
2022-04-25 16:00:00,0.3001665752238424,-0.2217983041715319
2022-05-02 16:00:00,0.26156248453708036,-0.24579631752467979
2022-05-04 16:00:00,0.13923742149351334,-0.3896800608213382
2022-05-04 16:00:00,0.14228187533372078,-0.398755303393606
2022-05-04 16:00:00,0.12253632753484954,-0.4428659786405825
2022-05-04 16:00:00,0.14001648446938086,-0.44577858470273213
2022-05-15 16:00:00,0.06630904439929315,-0.5160325694450008
2022-05-15 16:00:00,-0.02721494049671844,-0.5984948608963352
2022-05-16 16:00:00,-0.05919525902752539,-0.5977717172695295
2022-05-19 16:00:00,-0.09662464926245375,-0.6036924652636058
2022-05-22 16:00:00,-0.11373864058741238,-0.6209005772459715
2022-05-22 16:00:00,-0.14246558168560394,-0.6304417172725183
2022-05-28 16:00:00,-0.1746137321181425,-0.6215794133417489
2022-05-28 16:00:00,-0.2164558357242324,-0.6428653154336776
2022-05-29 16:00:00,-0.2931324649496435,-0.6588822758353473
2022-05-30 16:00:00,-0.3188069837118764,-0.6753364144824421
2022-06-05 16:00:00,-0.3440023658846558,-0.675035560016169
2022-06-05 16:00:00,-0.32327777329791973,-0.691677202143295
2022-06-05 16:00:00,-0.4853031100815101,-0.7125931266817084
2022-06-05 16:00:00,-0.5647900456587993,-0.7289150495720844
2022-06-05 16:00:00,-0.8685218746310701,-0.7328713131643843
2022-06-05 16:00:00,-0.8676544432939878,-0.7419779053929544
2022-06-07 16:00:00,-0.8654731834735202,-0.7463122543932487
2022-06-15 16:00:00,-0.8993142192889749,-0.7798119494206973
2022-06-15 16:00:00,-0.9399768202923459,-0.8066367366509625
2022-06-19 16:00:00,-0.9026924923270094,-0.8042283558162845
2022-06-19 16:00:00,-0.9645212042355701,-0.833418770710544
2022-06-19 16:00:00,-0.9592249174824418,-0.8625150661758061
2022-06-22 16:00:00,-0.913539841245268,-0.8611611387653157
2022-06-22 16:00:00,-0.902559438820931,-0.8595315819662258
2022-06-23 16:00:00,-0.8565031382117353,-0.8583594235025913
2022-06-24 16:00:00,-0.8189933653825002,-0.8565041134800724
2022-06-29 16:00:00,-0.7326110871429611,-0.8499899905466526
2022-07-03 16:00:00,-0.7519264613715012,-0.8565733151607269
2022-07-03 16:00:00,-0.7236329762517691,-0.8595465559364994
2022-07-03 16:00:00,-0.7695207205029394,-0.8724277789987263
2022-07-03 16:00:00,-0.7608706077845299,-0.8814936788341292
2022-07-04 16:00:00,-0.6285338811814429,-0.8722940067192217
2022-07-05 16:00:00,-0.6156239711733523,-0.8701840829075735
2022-07-09 16:00:00,-0.5866325183757619,-0.8674622557188052
2022-07-09 16:00:00,-0.49985681909177937,-0.8586754182972008
2022-07-14 16:00:00,-0.4585066653819294,-0.8537797930150074
2022-07-14 16:00:00,-0.45450438065979615,-0.8495036437553667
2022-07-14 16:00:00,-0.40990235000788,-0.8462168440751313
2022-07-18 16:00:00,-0.3755103810316838,-0.8437631871293937
2022-07-18 16:00:00,-0.3402167081054352,-0.8412439482929033
2022-07-20 16:00:00,-0.29772339970793466,-0.8309134511030124
2022-07-20 16:00:00,-0.2826143478304879,-0.8341866016880698
