Symbol,trades,gross_pnl,fees,net_pnl,notional,win_rate,net_after_fees
WIFUSDT,271,22.79590997,7.19836821,22.79590997,14396.73752,26.56826568265683,15.59754176
LTCUSDT,591,19.570879700000003,26.00560891,19.570879700000003,52011.21982,15.5668358714044,-6.434729209999997
LINKUSDT,292,18.31064987,9.24211859,18.31064987,18484.23803,25.34246575342466,9.068531279999998
SUIUSDT,310,13.237839840000001,7.94941015,13.237839840000001,15898.82135,24.516129032258064,5.288429690000001
XRPUSDT,0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,1464,73.91527938,50.39550586,73.91527938,100791.01672,21.450136612021858,23.51977352
