Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
ARBUSDT,0.005,1,4.2096896017073,-0.022763778153156666,0.44511470425832833,True
ARBUSDT,0.005,3,3.855967828394927,-0.03280730224554729,0.4048128701888247,True
ARBUSDT,0.005,5,3.2298205152134245,-0.03173096323998925,0.32321265564836077,True
ARBUSDT,0.005,10,3.3390533063142662,-0.0333900787479845,0.2813383502244913,True
ARBUSDT,0.01,1,4.239084488418383,-0.04500936671050737,1.0893061484526623,True
ARBUSDT,0.01,3,3.8828159506869566,-0.06453828541046358,0.9744814379046138,True
ARBUSDT,0.01,5,3.2614461569264126,-0.062455072451840454,0.7512460485525405,True
ARBUSDT,0.01,10,3.3779488007708216,-0.06566526013717244,0.6418279677560275,True
ARBUSDT,0.015,1,4.268679155206263,-0.06674856162505183,2.0223547114631075,True
ARBUSDT,0.015,3,3.9146604171179455,-0.09522826062014078,1.7802911299132935,True
ARBUSDT,0.015,5,3.293726252014535,-0.09220427608370918,1.318993850313455,True
ARBUSDT,0.015,10,3.416605367355468,-0.09686277067816984,1.1037371395569462,True
ARBUSDT,0.02,1,4.288834043401452,-0.08799289032933355,3.329251156968093,True
ARBUSDT,0.02,3,3.9367673812956157,-0.12491138053720507,2.900820445698634,True
ARBUSDT,0.02,5,3.30774236183414,-0.12100950882871608,2.0461487443086495,True
ARBUSDT,0.02,10,3.4195102051902606,-0.1270185938854621,1.6509685758667412,True
