pair,entry_time,exit_time,gross_ret,net_ret,capital_used,pnl,z_entry,stopped_out
ETHUSDT/OPUSDT,2023-03-10,2023-03-13,0.35672176807490863,0.3547217680749086,3709.0519470821205,1315.6814645506522,-1.7090519470821206,False
ETHUSDT/OPUSDT,2024-02-29,2024-03-03,-0.11644300313194944,-0.11844300313194944,3553.435519990376,-420.8795744234005,1.553435519990376,True
ETHUSDT/OPUSDT,2024-05-02,2024-05-05,-0.059956747764437934,-0.061956747764437936,4290.2198895279425,-265.8080715494575,2.2902198895279424,False
ETHUSDT/OPUSDT,2024-08-22,2024-08-23,-0.11766012044159135,-0.11966012044159136,3770.3319261430584,-451.15837238705546,1.7703319261430586,True
ETHUSDT/OPUSDT,2024-10-19,2024-10-22,-0.003712203779681844,-0.005712203779681844,4569.399163157635,-26.101339170664097,-2.5693991631576343,False
ETHUSDT/OPUSDT,2024-11-12,2024-11-14,-0.1589449693553765,-0.1609449693553765,3686.4790756842813,-593.3202618652433,-1.6864790756842811,True
ETHUSDT/OPUSDT,2025-03-28,2025-03-31,0.17413617485462796,0.17213617485462795,3976.7951595595678,684.5503069469838,1.9767951595595683,False
