Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
XRPUSDT,0.005,1,3.3702105692594473,-0.0269813044321231,0.4560192796032234,True
XRPUSDT,0.005,3,2.4142789346837437,-0.05891476492563985,0.43425220642863405,True
XRPUSDT,0.005,5,2.015896121841085,-0.036352320696205975,0.39954991095857273,True
XRPUSDT,0.005,10,1.5177590006803425,-0.04153385553924538,0.38616436037501,True
XRPUSDT,0.01,1,3.2634653996455234,-0.05323461807538754,1.118777024494087,True
XRPUSDT,0.01,3,2.310281316935196,-0.11435858032503554,1.0570963275710468,True
XRPUSDT,0.01,5,1.9173141161823974,-0.07138315017241237,0.9587399532641458,True
XRPUSDT,0.01,10,1.47437826391396,-0.08134264992253504,0.9214516339738581,True
XRPUSDT,0.015,1,3.182518330690458,-0.07877958307089128,2.059635953862363,True
XRPUSDT,0.015,3,2.2445408098719226,-0.16653593637359532,1.9345896824464965,True
XRPUSDT,0.015,5,1.8585359110000443,-0.10347031546308771,1.7270000988538845,True
XRPUSDT,0.015,10,1.454549002090664,-0.11949803159071837,1.6384917751617771,True
XRPUSDT,0.02,1,3.508741391529417,-0.10363531158914341,3.244670260349558,True
XRPUSDT,0.02,3,2.5917610882878988,-0.21308797750056585,2.9760478519114004,True
XRPUSDT,0.02,5,2.1541097159081284,-0.13810160373377256,2.4638439667998884,True
XRPUSDT,0.02,10,1.6122388821632243,-0.16200704407280442,2.0755257216880953,True
