Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
DOGEUSDT,0.005,1,4.119989816512243,-0.02580728472824223,0.466682528508499,True
DOGEUSDT,0.005,3,4.088401956574122,-0.05834740942307626,0.49051976573499245,True
DOGEUSDT,0.005,5,4.30623140503326,-0.045983901279140205,0.5160701183832876,True
DOGEUSDT,0.005,10,4.356974861477995,-0.05144713224973496,0.5071067609000843,True
DOGEUSDT,0.01,1,4.1391847531273065,-0.05094855351144001,1.1511598440456132,True
DOGEUSDT,0.01,3,4.109779132632467,-0.11329039865976964,1.2217148731060234,True
DOGEUSDT,0.01,5,4.317833422729096,-0.08985328338142895,1.298468603854718,True
DOGEUSDT,0.01,10,4.385022340896632,-0.10024745708274851,1.2713707887507453,True
DOGEUSDT,0.015,1,4.1554972264752,-0.07544099441272045,2.1367572780140227,True
DOGEUSDT,0.015,3,4.1430268675985085,-0.16502760680854067,2.307687135717049,True
DOGEUSDT,0.015,5,4.32628024389441,-0.1317053801479513,2.465739801799638,True
DOGEUSDT,0.015,10,4.422074922284639,-0.14653714515024718,2.4167590900405536,True
DOGEUSDT,0.02,1,4.200043134465208,-0.09930135191797196,3.4880787825130124,True
DOGEUSDT,0.02,3,4.236307856964655,-0.21374608289104868,3.79943369245935,True
DOGEUSDT,0.02,5,4.313080828515385,-0.17163295422843583,4.143705571824149,True
DOGEUSDT,0.02,10,4.443148532962307,-0.19044536151393887,4.064351729456766,True
