strategy,Total Trades,Win Rate,Avg Win,Avg Loss,Expectancy,Profit Factor,Payoff Ratio
btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
ETHUSDT_AVAXUSDT_z1.0_h2_ddmod0,25,0.52,0.08690036116482319,-0.09230095793696219,0.0008837279959662131,1.0199467051344544,0.9414892662779579
ETHUSDT_AVAXUSDT_z1.0_h2_ddmod1,25,0.52,0.08690036116482319,-0.08054632662840257,0.0065259510240748275,1.1687939334946864,1.0788867078412492
ETHUSDT_AVAXUSDT_z1.0_h3_ddmod0,25,0.52,0.1107056738940698,-0.11268376024757171,0.003478745506081876,1.0643161574931566,0.9824456838398368
ETHUSDT_AVAXUSDT_z1.0_h3_ddmod1,25,0.52,0.1107056738940698,-0.09149747849076244,0.013648160749350324,1.310759036170421,1.2099314180034657
ETHUSDT_AVAXUSDT_z1.0_h5_ddmod0,25,0.56,0.15567102234650143,-0.16757978635845594,0.013440666516320199,1.1822831381938432,0.9289367514380197
ETHUSDT_AVAXUSDT_z1.0_h5_ddmod1,25,0.56,0.15567102234650143,-0.12013424777177048,0.0343167034944618,1.6492112731261097,1.295808857456229
ETHUSDT_AVAXUSDT_z1.25_h2_ddmod0,17,0.5882352941176471,0.08501831236978262,-0.12311964513391796,-0.000685552484682321,0.9864772744002412,0.6905340920801689
ETHUSDT_AVAXUSDT_z1.25_h2_ddmod1,17,0.5882352941176471,0.08501831236978262,-0.10296884860495861,0.007611834321359763,1.1795288924983034,0.8256702247488125
ETHUSDT_AVAXUSDT_z1.25_h3_ddmod0,17,0.5882352941176471,0.11894133174466051,-0.13289082873375638,0.015245736253547679,1.2786148587204682,0.8950304011043279
ETHUSDT_AVAXUSDT_z1.25_h3_ddmod1,17,0.5882352941176471,0.11894133174466051,-0.09657148857922619,0.030200758670118934,1.759486062672219,1.2316402438705534
ETHUSDT_AVAXUSDT_z1.25_h5_ddmod0,17,0.5882352941176471,0.16951625356105085,-0.17788644935777345,0.02646808177094674,1.36135201635697,0.952946411449879
ETHUSDT_AVAXUSDT_z1.25_h5_ddmod1,17,0.5882352941176471,0.16951625356105085,-0.10819984489789346,0.055162565960309086,2.2381370023618365,1.5666959016532858
ETHUSDT_AVAXUSDT_z1.5_h2_ddmod0,11,0.6363636363636364,0.09889039678314455,-0.07568013119033268,0.035410204792789196,2.2867057925054084,1.306689024288805
ETHUSDT_AVAXUSDT_z1.5_h2_ddmod1,11,0.6363636363636364,0.09889039678314455,-0.07568013119033268,0.035410204792789196,2.2867057925054084,1.306689024288805
ETHUSDT_AVAXUSDT_z1.5_h3_ddmod0,11,0.6363636363636364,0.11661802808950636,-0.06448475114530089,0.0507624720041219,3.1648032369201116,1.8084589925257781
ETHUSDT_AVAXUSDT_z1.5_h3_ddmod1,11,0.6363636363636364,0.11661802808950636,-0.06448475114530089,0.0507624720041219,3.1648032369201116,1.8084589925257781
ETHUSDT_AVAXUSDT_z1.5_h5_ddmod0,11,0.7272727272727273,0.1457522955796633,-0.09242514340049433,0.08079481222143849,4.205271140648906,1.5769766777433396
ETHUSDT_AVAXUSDT_z1.5_h5_ddmod1,11,0.7272727272727273,0.1457522955796633,-0.0786552157772551,0.08455024702777647,4.941475074114905,1.8530531527930894
ETHUSDT_BTCUSDT_z1.0_h2_ddmod0,24,0.5,0.06032136536077418,-0.05355899129719859,0.0033811870317877954,1.1262602954198897,1.1262602954198897
ETHUSDT_BTCUSDT_z1.0_h2_ddmod1,24,0.5,0.06032136536077418,-0.05822717283313033,0.001047096263821927,1.0359658974624353,1.035965897462435
ETHUSDT_BTCUSDT_z1.0_h3_ddmod0,24,0.5,0.08518848642091015,-0.06349570882541285,0.01084638879774865,1.3416416321163298,1.34164163211633
ETHUSDT_BTCUSDT_z1.0_h3_ddmod1,24,0.5,0.08518848642091015,-0.06051504172562471,0.012336722347642718,1.4077241623190955,1.4077241623190953
ETHUSDT_BTCUSDT_z1.0_h5_ddmod0,24,0.5833333333333334,0.07986471241408245,-0.039874056915155436,0.029973558526900004,2.804093840203608,2.002924171574006
ETHUSDT_BTCUSDT_z1.0_h5_ddmod1,24,0.5416666666666666,0.08535590612435252,-0.056077706967954735,0.02053216679037836,1.798846051978734,1.522100505520467
ETHUSDT_BTCUSDT_z1.25_h2_ddmod0,16,0.4375,0.052410738400279565,-0.055856526942163115,-0.008489598354844443,0.7297966750935132,0.938310010834517
ETHUSDT_BTCUSDT_z1.25_h2_ddmod1,16,0.4375,0.052410738400279565,-0.0620807689900721,-0.011990734506793246,0.6566269765630772,0.8442346841525278
ETHUSDT_BTCUSDT_z1.25_h3_ddmod0,16,0.4375,0.06490723758047466,-0.07142903396443355,-0.01178191516353621,0.7067631214524461,0.9086954418674307
ETHUSDT_BTCUSDT_z1.25_h3_ddmod1,16,0.4375,0.06490723758047466,-0.06745481116471602,-0.009546414838695096,0.7484033553034759,0.9622328853901835
