Pair,Z_Entry,Hold_Period,AsymDD,Sharpe,MaxDD,CAGR,Trades
ETHUSDT/OPUSDT,1.5,3,True,0.08423569423073062,-0.39266796295146755,-0.15272399350848098,7
ETHUSDT/OPUSDT,1.5,3,False,0.2485964391284656,-0.3157320052119912,-0.10198166025257804,7
ETHUSDT/OPUSDT,1.5,5,True,0.2139122778578302,-0.3274370503866655,-0.08476014086756323,7
ETHUSDT/OPUSDT,1.5,5,False,0.5945012345220725,-0.2462662657220045,0.03309800635385307,7
ETHUSDT/MATICUSDT,1.0,2,True,1.214324760871064,-0.15685476408776156,0.25515788076033763,18
ETHUSDT/MATICUSDT,1.0,2,False,0.7418670625486594,-0.29881026692609125,0.16198802819372538,18
ETHUSDT/MATICUSDT,1.0,3,True,1.3259899768727428,-0.19380826633203996,0.5861530571068452,18
ETHUSDT/MATICUSDT,1.0,3,False,1.043956686184983,-0.31072850968250854,0.467891444782099,18
ETHUSDT/MATICUSDT,1.0,5,True,1.1329835051055275,-0.19380826633203996,0.7512752329100489,18
ETHUSDT/MATICUSDT,1.0,5,False,0.9590354515668692,-0.26388434602803756,0.6296279784819037,18
ETHUSDT/MATICUSDT,1.25,2,True,1.272059953161858,-0.15685476408776156,0.2938673502127285,13
ETHUSDT/MATICUSDT,1.25,2,False,0.7421454021593884,-0.29881026692609125,0.19767695291298604,13
ETHUSDT/MATICUSDT,1.25,3,True,1.558433128151158,-0.1711858489946475,0.7357712563341765,13
ETHUSDT/MATICUSDT,1.25,3,False,1.1956946989355444,-0.31072850968250865,0.6060462420316002,13
ETHUSDT/MATICUSDT,1.25,5,True,1.6632132095506842,-0.11485810836670907,0.9477418359994931,13
ETHUSDT/MATICUSDT,1.25,5,False,1.329315776128608,-0.26388434602803756,0.8031532402199011,13
ETHUSDT/MATICUSDT,1.5,2,True,2.0855669743881546,-0.04778016505834248,0.4340462659974067,10
ETHUSDT/MATICUSDT,1.5,2,False,2.0855669743881546,-0.04778016505834248,0.4340462659974067,10
ETHUSDT/MATICUSDT,1.5,3,True,2.1359048561071874,0.0,1.0610886978014706,10
ETHUSDT/MATICUSDT,1.5,3,False,2.1359048561071874,0.0,1.0610886978014706,10
ETHUSDT/MATICUSDT,1.5,5,True,1.902482677126673,-0.05881534972640978,1.1549157684292224,10
ETHUSDT/MATICUSDT,1.5,5,False,1.8562035296380408,-0.05881534972640978,1.1573938989970274,10
ETHUSDT/LDOUSDT,1.0,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,5,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,5,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,5,False,0.0,0.0,0.0,0
