Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
SOLUSDT,0.005,1,4.358816064846211,-0.02315996017731392,0.4480449866245706,True
SOLUSDT,0.005,3,4.770945264815237,-0.04358343411589116,0.576926813699574,True
SOLUSDT,0.005,5,3.428748596940429,-0.044445399634847615,0.35701045060122216,True
SOLUSDT,0.005,10,2.993939048710229,-0.03912827781793293,0.3148324616182947,True
SOLUSDT,0.01,1,4.38237164315386,-0.045783536599212415,1.0968342832885534,True
SOLUSDT,0.01,3,4.794926510670096,-0.08526735250244744,1.4866981757646918,True
SOLUSDT,0.01,5,3.458679661316224,-0.08691540572099432,0.8414773630409329,True
SOLUSDT,0.01,10,3.0268069437958647,-0.07672553351086853,0.728784402125221,True
SOLUSDT,0.015,1,4.408041279556191,-0.06596080638147028,2.0376524325183936,True
SOLUSDT,0.015,3,4.820923352492629,-0.1251345425783119,2.923670480672685,True
SOLUSDT,0.015,5,3.490478153749413,-0.12749781541414806,1.4997067434406586,True
SOLUSDT,0.015,10,3.0592040671310308,-0.11285167333785862,1.273061851053618,True
SOLUSDT,0.02,1,4.436998239307992,-0.08696631534451449,3.368766456986118,True
SOLUSDT,0.02,3,4.849786509244527,-0.16326418360211914,5.153184296355552,True
SOLUSDT,0.02,5,3.522404936980622,-0.16627652369034374,2.341495598585929,True
SOLUSDT,0.02,10,3.092706250735766,-0.14756425952920993,1.936846542285799,True
