strategy,CAGR,Sharpe,MaxDrawdown,Volatility,Total Return
momentum_btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,6808.834395334623,12.390111732146432,-0.06371758948523076,0.7526128171192737,68.26502235037977
momentum_btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,6808.834395334623,12.390111732146432,-0.06371758948523076,0.7526128171192737,68.26502235037977
momentum_btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,6808.834395334623,12.390111732146432,-0.06371758948523076,0.7526128171192737,68.26502235037977
momentum_btcusdt_btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,38048.94462886856,20.507326186191058,-0.009916318239894473,0.5656749826870544,1.0370051963896505
momentum_btcusdt_btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,38048.94462886856,20.507326186191058,-0.009916318239894473,0.5656749826870544,1.0370051963896505
momentum_btcusdt_btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,38048.94462886856,20.507326186191058,-0.009916318239894473,0.5656749826870544,1.0370051963896505
momentum_ethusdt_btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,15027.927457606702,26.471983561373282,-0.01621348087173602,0.38512822508351474,2.391591624080113
momentum_ethusdt_btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,15027.927457606702,26.471983561373282,-0.01621348087173602,0.38512822508351474,2.391591624080113
momentum_ethusdt_btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,15027.927457606702,26.471983561373282,-0.01621348087173602,0.38512822508351474,2.391591624080113
momentum_solusdt_btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,7211.755990144767,9.170549089506931,-0.14448864652243865,1.0548201066611467,17.00586109945824
momentum_solusdt_btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,7211.755990144767,9.170549089506931,-0.14448864652243865,1.0548201066611467,17.00586109945824
momentum_solusdt_btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,7211.755990144767,9.170549089506931,-0.14448864652243865,1.0548201066611467,17.00586109945824
relative_value_ETHUSDT_AVAXUSDT_z1.0_h2_ddmod0,0.02551616172837856,0.42517932247490486,-0.012804384476096109,0.0667479970524728,0.0025027355812268226
relative_value_ETHUSDT_AVAXUSDT_z1.0_h2_ddmod1,0.07610662849461725,1.2581883831564062,-0.010738698280206349,0.06220706827092943,0.0073032812812421355
relative_value_ETHUSDT_AVAXUSDT_z1.0_h3_ddmod0,0.13401509072765871,1.698811805644816,-0.0166827166842769,0.07889016856905674,0.012554796129637946
relative_value_ETHUSDT_AVAXUSDT_z1.0_h3_ddmod1,0.2365548554511776,3.2357290634733684,-0.0113809984701706,0.06908949155673068,0.02128782232794091
relative_value_ETHUSDT_AVAXUSDT_z1.0_h5_ddmod0,0.2411538852378634,2.108244006152996,-0.026764159730403025,0.10951150702283544,0.021664018229769377
relative_value_ETHUSDT_AVAXUSDT_z1.0_h5_ddmod1,0.5626345713041159,4.988315701410867,-0.013387380001267601,0.09430915031850758,0.04342830163397471
relative_value_ETHUSDT_AVAXUSDT_z1.25_h2_ddmod0,0.11983357955227514,1.7505603464818213,-0.011949092578236176,0.0700223338108257,0.0076643866287398055
relative_value_ETHUSDT_AVAXUSDT_z1.25_h2_ddmod1,0.15519779575164683,2.321889459774549,-0.009879821719579462,0.06694220919411237,0.009780122499862154
relative_value_ETHUSDT_AVAXUSDT_z1.25_h3_ddmod0,0.37529639489143696,4.252742682882373,-0.012829883898580308,0.08038025868695105,0.02173026663118427
relative_value_ETHUSDT_AVAXUSDT_z1.25_h3_ddmod1,0.4175326406995368,4.84835832271527,-0.010815838877105133,0.07709353979013162,0.023817311977634592
relative_value_ETHUSDT_AVAXUSDT_z1.25_h5_ddmod0,0.5352906465669114,3.8751622619294737,-0.021671782868923795,0.11937178148367464,0.029343857501201276
relative_value_ETHUSDT_AVAXUSDT_z1.25_h5_ddmod1,0.7788452097356726,5.859601409754028,-0.013387380001267601,0.1054490439356223,0.03961945854205906
relative_value_ETHUSDT_AVAXUSDT_z1.5_h2_ddmod0,0.35054749398833107,4.539097144235232,-0.007919771464819148,0.07340597814894873,0.013203914538306938
relative_value_ETHUSDT_AVAXUSDT_z1.5_h2_ddmod1,0.35054749398833107,4.539097144235232,-0.007919771464819148,0.07340597814894873,0.013203914538306938
relative_value_ETHUSDT_AVAXUSDT_z1.5_h3_ddmod0,0.651925274877337,7.392892575682014,-0.007017386428854522,0.07510893930703803,0.022151932084923276
relative_value_ETHUSDT_AVAXUSDT_z1.5_h3_ddmod1,0.651925274877337,7.392892575682014,-0.007017386428854522,0.07510893930703803,0.022151932084923276
relative_value_ETHUSDT_AVAXUSDT_z1.5_h5_ddmod0,1.14313513705507,7.849266612318865,-0.006873111971384516,0.10766357291434019,0.03383344070671157
relative_value_ETHUSDT_AVAXUSDT_z1.5_h5_ddmod1,1.2194574629658037,8.507754606265236,-0.0053549788312451385,0.10382728278510736,0.03541379949735579
relative_value_ETHUSDT_BTCUSDT_z1.0_h2_ddmod0,-0.01281009413528178,-0.33237948991162414,-0.015091709828720323,0.038358104818187744,-0.0012271370126285541
