Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
BTCUSDT,0.005,1,3.379893104840906,-0.04111093809478039,0.36894452094466934,True
BTCUSDT,0.005,3,3.6024666856271743,-0.04166958048577862,0.48842241768137695,True
BTCUSDT,0.005,5,3.3885063445968706,-0.10870020772027078,0.35036515483625896,True
BTCUSDT,0.005,10,2.6222578042134144,-0.11381287250652738,0.2456172502103222,True
BTCUSDT,0.01,1,3.4685309619250573,-0.07623530758356234,0.854541605247054,True
BTCUSDT,0.01,3,3.7538252033271404,-0.08160280703369671,1.161571942136138,True
BTCUSDT,0.01,5,3.447285052658703,-0.1918391500689285,0.8272753229106313,True
BTCUSDT,0.01,10,2.713537330326024,-0.2042040778876013,0.5610642624108559,True
BTCUSDT,0.015,1,3.5230884628625248,-0.09060368257204165,1.4346604003038874,True
BTCUSDT,0.015,3,3.8598522145801337,-0.11528654606528455,2.032143873606007,True
BTCUSDT,0.015,5,3.520887953705058,-0.2386851755419347,1.4175669584703816,True
BTCUSDT,0.015,10,2.8552153974743684,-0.2612818739939602,0.9675119364009972,True
BTCUSDT,0.02,1,3.5524360803544486,-0.10234654580166136,2.044697753328639,True
BTCUSDT,0.02,3,3.9107184317435975,-0.13940180309344208,3.0232848403952177,True
BTCUSDT,0.02,5,3.5529531545843605,-0.2741104129420826,2.0881887894958617,True
BTCUSDT,0.02,10,2.9392418116503958,-0.3037423256690457,1.4102618525761614,True
DOGEUSDT,0.005,1,4.119989816512243,-0.02580728472824223,0.466682528508499,True
DOGEUSDT,0.005,3,4.088401956574122,-0.05834740942307626,0.49051976573499245,True
DOGEUSDT,0.005,5,4.30623140503326,-0.045983901279140205,0.5160701183832876,True
DOGEUSDT,0.005,10,4.356974861477995,-0.05144713224973496,0.5071067609000843,True
DOGEUSDT,0.01,1,4.1391847531273065,-0.05094855351144001,1.1511598440456132,True
DOGEUSDT,0.01,3,4.109779132632467,-0.11329039865976964,1.2217148731060234,True
DOGEUSDT,0.01,5,4.317833422729096,-0.08985328338142895,1.298468603854718,True
DOGEUSDT,0.01,10,4.385022340896632,-0.10024745708274851,1.2713707887507453,True
DOGEUSDT,0.015,1,4.1554972264752,-0.07544099441272045,2.1367572780140227,True
DOGEUSDT,0.015,3,4.1430268675985085,-0.16502760680854067,2.307687135717049,True
DOGEUSDT,0.015,5,4.32628024389441,-0.1317053801479513,2.465739801799638,True
DOGEUSDT,0.015,10,4.422074922284639,-0.14653714515024718,2.4167590900405536,True
DOGEUSDT,0.02,1,4.200043134465208,-0.09930135191797196,3.4880787825130124,True
DOGEUSDT,0.02,3,4.236307856964655,-0.21374608289104868,3.79943369245935,True
DOGEUSDT,0.02,5,4.313080828515385,-0.17163295422843583,4.143705571824149,True
DOGEUSDT,0.02,10,4.443148532962307,-0.19044536151393887,4.064351729456766,True
INJUSDT,0.005,1,4.488280534834869,-0.022948644610756852,0.5105917386127632,True
INJUSDT,0.005,3,4.419090152156506,-0.027255340124571648,0.5428245872568056,True
INJUSDT,0.005,5,5.1508405992831845,-0.037571538208804545,0.5768846000048791,True
INJUSDT,0.005,10,4.442784735493875,-0.027602751387318603,0.4824725664583285,True
INJUSDT,0.01,1,4.505379005316345,-0.04537064893204268,1.2818874007651302,True
INJUSDT,0.01,3,4.430211705136168,-0.05376782668383673,1.3803077070441354,True
INJUSDT,0.01,5,5.174086546910203,-0.0737314559342328,1.4865650417325527,True
INJUSDT,0.01,10,4.470268312196759,-0.05444359089048734,1.1977249103015462,True
INJUSDT,0.015,1,4.521427283161687,-0.06727809864469858,2.4470467899731148,True
INJUSDT,0.015,3,4.43957253149252,-0.07955770640438176,2.672397255664564,True
INJUSDT,0.015,5,5.196840591872106,-0.10853278992921345,2.9210261212185515,True
INJUSDT,0.015,10,4.497271592532814,-0.08054354937382302,2.2580668881441306,True
INJUSDT,0.02,1,4.533379687534173,-0.0886828020795708,4.180123350729144,True
INJUSDT,0.02,3,4.441274268385538,-0.10464467418137036,4.63935378781765,True
INJUSDT,0.02,5,5.225260201026312,-0.13631766063263728,5.19120347834154,True
INJUSDT,0.02,10,4.525202846191295,-0.10592307719192373,3.8310021716491374,True
ARBUSDT,0.005,1,4.2096896017073,-0.022763778153156666,0.44511470425832833,True
ARBUSDT,0.005,3,3.855967828394927,-0.03280730224554729,0.4048128701888247,True
ARBUSDT,0.005,5,3.2298205152134245,-0.03173096323998925,0.32321265564836077,True
ARBUSDT,0.005,10,3.3390533063142662,-0.0333900787479845,0.2813383502244913,True
ARBUSDT,0.01,1,4.239084488418383,-0.04500936671050737,1.0893061484526623,True
ARBUSDT,0.01,3,3.8828159506869566,-0.06453828541046358,0.9744814379046138,True
ARBUSDT,0.01,5,3.2614461569264126,-0.062455072451840454,0.7512460485525405,True
ARBUSDT,0.01,10,3.3779488007708216,-0.06566526013717244,0.6418279677560275,True
ARBUSDT,0.015,1,4.268679155206263,-0.06674856162505183,2.0223547114631075,True
ARBUSDT,0.015,3,3.9146604171179455,-0.09522826062014078,1.7802911299132935,True
ARBUSDT,0.015,5,3.293726252014535,-0.09220427608370918,1.318993850313455,True
ARBUSDT,0.015,10,3.416605367355468,-0.09686277067816984,1.1037371395569462,True
ARBUSDT,0.02,1,4.288834043401452,-0.08799289032933355,3.329251156968093,True
ARBUSDT,0.02,3,3.9367673812956157,-0.12491138053720507,2.900820445698634,True
ARBUSDT,0.02,5,3.30774236183414,-0.12100950882871608,2.0461487443086495,True
