timestamp,open,high,low,close,volume
2021-12-24,6.13500000,6.66100000,5.50300000,5.57600000,2217931.43000000
2021-12-25,5.57800000,5.91000000,5.50900000,5.61000000,1329719.30000000
2021-12-26,5.60800000,5.68200000,5.12500000,5.42200000,1727051.05000000
2021-12-27,5.42100000,5.74400000,5.15100000,5.15600000,1724656.97000000
2021-12-28,5.15600000,5.38700000,4.70500000,4.90700000,1970903.37000000
2021-12-29,4.89800000,5.02900000,4.51500000,4.62200000,1698449.36000000
2021-12-30,4.61500000,4.92000000,4.50000000,4.61000000,1834530.90000000
2021-12-31,4.61400000,5.10800000,4.53000000,4.60100000,1708500.45000000
2022-01-01,4.60200000,4.82800000,4.37400000,4.80000000,1342121.20000000
2022-01-02,4.79100000,4.86900000,4.52200000,4.57200000,724217.95000000
2022-01-03,4.57200000,5.41500000,4.51000000,5.26200000,3801926.52000000
2022-01-04,5.26400000,5.50000000,4.76400000,4.81300000,3928565.29000000
2022-01-05,4.81400000,5.12200000,4.03000000,4.27800000,3805854.49000000
2022-01-06,4.27800000,4.38000000,4.06300000,4.17200000,3791357.58000000
2022-01-07,4.17500000,4.18000000,3.64500000,3.68600000,3518981.52000000
2022-01-08,3.69300000,3.85000000,3.40700000,3.58000000,2230354.95000000
2022-01-09,3.57800000,3.99900000,3.46700000,3.76300000,2556309.59000000
2022-01-10,3.76400000,3.77400000,3.22000000,3.49900000,2142062.36000000
2022-01-11,3.50100000,3.60000000,3.24600000,3.47500000,2675671.99000000
2022-01-12,3.48100000,4.00000000,3.30400000,3.97200000,2730345.71000000
2022-01-13,3.97200000,4.07700000,3.53200000,3.54700000,2870440.77000000
2022-01-14,3.54900000,3.62800000,3.31000000,3.53000000,1991966.32000000
2022-01-15,3.52900000,3.78200000,3.45900000,3.63700000,1165911.26000000
2022-01-16,3.63600000,3.76800000,3.54000000,3.59800000,1114316.32000000
2022-01-17,3.59700000,3.62500000,3.13000000,3.19900000,1810616.79000000
2022-01-18,3.19700000,3.31900000,2.88000000,3.00000000,2447852.63000000
2022-01-19,3.00000000,3.18700000,2.75800000,2.96500000,2757651.67000000
2022-01-20,2.96400000,3.37200000,2.82000000,2.82900000,2467611.47000000
2022-01-21,2.82700000,2.90100000,2.26200000,2.41500000,5283958.03000000
2022-01-22,2.41300000,2.50300000,1.96200000,2.14500000,3383954.01000000
2022-01-23,2.14500000,2.38000000,2.09900000,2.25000000,1933706.86000000
2022-01-24,2.24800000,2.33800000,1.80100000,2.27500000,3273887.70000000
2022-01-25,2.27500000,2.42800000,2.18700000,2.30100000,2482562.42000000
2022-01-26,2.30400000,2.63700000,2.24500000,2.49600000,2928949.01000000
2022-01-27,2.49800000,2.63200000,2.36100000,2.49300000,2928525.16000000
2022-01-28,2.49300000,2.85400000,2.42500000,2.83500000,1897069.95000000
2022-01-29,2.83700000,3.24700000,2.83500000,3.17900000,4572167.03000000
2022-01-30,3.18700000,3.77500000,2.94700000,3.07700000,5756756.93000000
2022-01-31,3.07900000,3.66400000,2.85000000,3.49300000,5877567.75000000
2022-02-01,3.49400000,4.06000000,3.42100000,3.74000000,5556947.67000000
2022-02-02,3.73900000,4.26000000,3.25000000,3.26000000,10715918.19000000
2022-02-03,3.26400000,3.49000000,3.14000000,3.36700000,6625649.72000000
2022-02-04,3.36600000,3.66700000,3.24700000,3.61000000,5160967.19000000
2022-02-05,3.60900000,4.00800000,3.49400000,3.71200000,5290258.03000000
2022-02-06,3.71200000,3.85000000,3.40200000,3.57300000,3514899.75000000
2022-02-07,3.57500000,3.85000000,3.45500000,3.64300000,4141495.38000000
2022-02-08,3.64500000,3.75000000,3.20700000,3.39300000,3809107.82000000
2022-02-09,3.39200000,3.49200000,3.20800000,3.32900000,3778386.70000000
2022-02-10,3.32700000,3.48000000,3.02000000,3.07500000,4585635.63000000
2022-02-11,3.07700000,3.15900000,2.58100000,2.67700000,4034861.06000000
2022-02-12,2.67600000,2.78500000,2.53000000,2.69400000,3744651.67000000
2022-02-13,2.69400000,2.97600000,2.48600000,2.56600000,4230670.72000000
2022-02-14,2.56700000,2.89700000,2.53000000,2.83100000,3492708.46000000
2022-02-15,2.83400000,3.27700000,2.83400000,3.24900000,4297978.47000000
2022-02-16,3.25400000,4.04000000,2.99400000,3.20100000,7089028.07000000
2022-02-17,3.20000000,3.34600000,2.72300000,2.79300000,3599727.14000000
2022-02-18,2.79100000,3.00900000,2.67100000,2.69600000,2882244.84000000
2022-02-19,2.69500000,2.78500000,2.53000000,2.61400000,1536785.01000000
2022-02-20,2.61800000,2.61900000,2.33700000,2.46300000,2101785.49000000
2022-02-21,2.46500000,2.88000000,2.30100000,2.36100000,4991440.66000000
2022-02-22,2.36300000,2.50400000,2.21500000,2.46000000,3669058.38000000
2022-02-23,2.46300000,2.64700000,2.34400000,2.35400000,3335058.60000000
2022-02-24,2.35400000,2.37800000,2.00000000,2.34000000,8048710.21000000
2022-02-25,2.34100000,2.60000000,2.31700000,2.58700000,5383524.46000000
2022-02-26,2.58700000,2.71800000,2.45000000,2.45800000,2764562.26000000
2022-02-27,2.45800000,2.54300000,2.33100000,2.38200000,4158866.16000000
2022-02-28,2.38400000,2.68700000,2.35700000,2.67400000,3062683.64000000
2022-03-01,2.67400000,3.12500000,2.53100000,2.97900000,5403659.82000000
2022-03-02,2.97900000,3.33000000,2.86100000,2.89200000,6942893.60000000
2022-03-03,2.89200000,2.94400000,2.65100000,2.75100000,3798058.65000000
2022-03-04,2.75100000,2.75800000,2.48400000,2.50500000,3351099.88000000
2022-03-05,2.50700000,2.69500000,2.47500000,2.61800000,2183375.32000000
2022-03-06,2.61900000,2.64200000,2.48000000,2.53000000,1779377.90000000
2022-03-07,2.53200000,2.60100000,2.41200000,2.48400000,2164095.77000000
2022-03-08,2.48600000,2.55900000,2.43700000,2.50600000,1346165.55000000
2022-03-09,2.50700000,2.77900000,2.50000000,2.65000000,2513994.18000000
2022-03-10,2.64700000,2.65600000,2.47800000,2.50600000,1502734.37000000
2022-03-11,2.50600000,2.55900000,2.35100000,2.38200000,1627876.43000000
2022-03-12,2.38200000,2.41900000,2.35400000,2.35400000,711405.41000000
2022-03-13,2.35400000,2.40300000,2.24600000,2.26000000,1216846.55000000
2022-03-14,2.26000000,2.32600000,2.22600000,2.32100000,821834.34000000
2022-03-15,2.31900000,2.35600000,2.24000000,2.33200000,1101491.73000000
2022-03-16,2.33300000,2.53200000,2.27100000,2.49800000,2603701.76000000
2022-03-17,2.49800000,2.58100000,2.41400000,2.41900000,1244414.02000000
2022-03-18,2.42000000,2.57800000,2.34400000,2.55600000,2665905.07000000
2022-03-19,2.55600000,3.09900000,2.53300000,2.71300000,4562126.17000000
2022-03-20,2.71300000,2.79900000,2.51300000,2.60300000,1464894.16000000
2022-03-21,2.60600000,2.77200000,2.54300000,2.65800000,1460378.76000000
2022-03-22,2.65800000,2.91000000,2.62400000,2.81400000,2276722.97000000
2022-03-23,2.81500000,2.87400000,2.71800000,2.80700000,1433896.40000000
2022-03-24,2.80700000,2.95000000,2.78500000,2.84100000,1722814.34000000
2022-03-25,2.84100000,2.92100000,2.73300000,2.74400000,1471009.83000000
2022-03-26,2.74400000,2.75000000,2.62200000,2.70800000,1138274.22000000
2022-03-27,2.70800000,2.81600000,2.46700000,2.79800000,1932590.39000000
2022-03-28,2.79800000,3.11300000,2.76700000,2.93900000,3683010.17000000
