ts,nav,cash_nav,unrealized
1767225600,10000.0,10000.0,0.0
1767226500,9999.64004319,9999.77500169,-0.1349585
1767227400,10002.33966786,9999.77500169,2.56466618
1767228300,10005.27982896,9999.77500169,5.50482728
1767229200,10008.46410747,9999.77500169,8.68910578
1767230100,10010.76465934,9999.77500169,10.98965765
1767231000,10013.2960735,9999.77500169,13.52107181
1767231900,10016.07983768,9999.77500169,16.30483599
1767232800,10019.10954889,9999.77500169,19.3345472
1767233700,10022.39787846,9999.77500169,22.62287677
1767234600,10024.75485942,9999.77500169,24.97985773
1767235500,10027.36705061,9999.77500169,27.59204892
1767236400,10030.23704808,9999.77500169,30.4620464
1767237300,10033.35764656,9999.77500169,33.58264488
1767238200,10036.74238816,9999.77500169,36.96738647
1767239100,10039.17669236,9999.77500169,39.40169068
1767240000,10041.87130758,9999.77500169,42.09630589
1767240900,10044.81891438,9999.77500169,45.04391269
1767241800,10048.04247789,9999.77500169,48.2674762
1767242700,10051.52508282,9999.77500169,51.75008113
1767243600,10048.62244969,10048.62244969,0.0
1767244500,10048.62244969,10048.62244969,0.0
1767245400,10048.62244969,10048.62244969,0.0
1767246300,10048.62244969,10048.62244969,0.0
1767247200,10048.62244969,10048.62244969,0.0
1767248100,10048.62244969,10048.62244969,0.0
1767249000,10048.62244969,10048.62244969,0.0
1767249900,10048.62244969,10048.62244969,0.0
1767250800,10048.62244969,10048.62244969,0.0
1767251700,10048.62244969,10048.62244969,0.0
1767252600,10048.62244969,10048.62244969,0.0
1767253500,10048.62244969,10048.62244969,0.0
1767254400,10048.62244969,10048.62244969,0.0
1767255300,10048.62244969,10048.62244969,0.0
1767256200,10048.62244969,10048.62244969,0.0
1767257100,10048.62244969,10048.62244969,0.0
1767258000,10048.62244969,10048.62244969,0.0
1767258900,10048.62244969,10048.62244969,0.0
1767259800,10048.62244969,10048.62244969,0.0
1767260700,10048.62244969,10048.62244969,0.0
1767261600,10048.26074268,10048.39635738,-0.1356147
1767262500,10050.74881837,10048.39635738,2.35246099
1767263400,10053.47698464,10048.39635738,5.08062726
1767264300,10056.44872381,10048.39635738,8.05236642
1767265200,10059.66677623,10048.39635738,11.27041885
1767266100,10061.9819465,10048.39635738,13.58558912
1767267000,10064.55005601,10048.39635738,16.15369863
1767267900,10067.35370105,10048.39635738,18.95734366
1767268800,10070.4155121,10048.39635738,22.01915472
1767269700,10073.73877365,10048.39635738,25.34241626
1767270600,10076.13098346,10048.39635738,27.73462608
1767271500,10078.77074316,10048.39635738,30.37438578
1767272400,10081.66112945,10048.39635738,33.26477206
1767273300,10084.81524491,10048.39635738,36.41888752
1767274200,10088.2355397,10048.39635738,39.83918231
1767275100,10090.69593056,10048.39635738,42.29957318
1767276000,10093.41941415,10048.39635738,45.02305677
1767276900,10096.39825318,10048.39635738,48.0018958
1767277800,10099.65605095,10048.39635738,51.25969356
1767278700,10103.17613253,10048.39635738,54.77977514
1767279600,10100.23252111,10100.23252111,0.0
1767280500,10100.23252111,10100.23252111,0.0
1767281400,10100.23252111,10100.23252111,0.0
1767282300,10100.23252111,10100.23252111,0.0
1767283200,10100.23252111,10100.23252111,0.0
1767284100,10100.23252111,10100.23252111,0.0
1767285000,10100.23252111,10100.23252111,0.0
1767285900,10100.23252111,10100.23252111,0.0
1767286800,10100.23252111,10100.23252111,0.0
1767287700,10100.23252111,10100.23252111,0.0
1767288600,10100.23252111,10100.23252111,0.0
1767289500,10100.23252111,10100.23252111,0.0
1767290400,10100.23252111,10100.23252111,0.0
1767291300,10100.23252111,10100.23252111,0.0
1767292200,10100.23252111,10100.23252111,0.0
1767293100,10100.23252111,10100.23252111,0.0
1767294000,10100.23252111,10100.23252111,0.0
1767294900,10100.23252111,10100.23252111,0.0
1767295800,10100.23252111,10100.23252111,0.0
1767296700,10100.23252111,10100.23252111,0.0
1767297600,10099.86895636,10100.00526758,-0.13631122
1767298500,10102.37019357,10100.00526758,2.36492599
1767299400,10105.11326897,10100.00526758,5.10800139
1767300300,10108.10084612,10100.00526758,8.09557853
1767301200,10111.3361591,10100.00526758,11.33089152
1767302100,10113.66390719,10100.00526758,13.65863961
1767303000,10116.23554006,10100.00526758,16.23027248
1767303900,10119.06414434,10100.00526758,19.05887675
1767304800,10122.14275328,10100.00526758,22.1374857
1767305700,10125.47378501,10100.00526758,25.46851742
1767306600,10127.87857042,10100.00526758,27.87330283
1767307500,10130.53276676,10100.00526758,30.52749917
1767308400,10133.43896793,10100.00526758,33.43370034
1767309300,10136.60996865,10100.00526758,36.60470107
1767310200,10140.04866468,10100.00526758,40.04339709
1767311100,10142.52243934,10100.00526758,42.51717175
1767312000,10145.26039658,10100.00526758,45.255129
1767312900,10148.25554647,10100.00526758,48.25027889
1767313800,10151.52075338,10100.00526758,51.51548579
1767314700,10155.06940577,10100.00526758,55.06413818
