ts,symbol,direction,price,hybrid_score,passes_threshold,regime,rq_score,rv_score,trend,carry,expectancy,router
2026-03-19T14:30:17.549989+00:00,ETHUSDT,LONG,2119.73,0.434074,True,normal,0.8,0.0,0.5,0.4157,0.4934,0.5314
2026-03-19T14:30:17.549989+00:00,BTCUSDT,LONG,69178.2,0.430367,True,normal,0.8,0.0,0.5,0.3525,0.4934,0.6093
2026-03-19T14:30:17.549989+00:00,SOLUSDT,LONG,87.66,0.412671,True,normal,0.8,0.0,0.5,0.3546,0.4994,0.4667
2026-03-19T14:36:17.726407+00:00,BTCUSDT,LONG,69337.5,0.430816,True,normal,0.8,0.0,0.5,0.3546,0.4932,0.6093
2026-03-19T14:36:17.726407+00:00,ETHUSDT,LONG,2112.54,0.420133,True,normal,0.8,0.0,0.5,0.3539,0.4932,0.5314
2026-03-19T14:36:17.726407+00:00,SOLUSDT,LONG,87.68,0.413082,True,normal,0.8,0.0,0.5,0.3564,0.4993,0.4667
2026-03-19T14:41:56.897370+00:00,BTCUSDT,LONG,69134.8,0.430816,True,normal,0.8,0.0,0.5,0.3546,0.4932,0.6093
2026-03-19T14:41:56.897370+00:00,ETHUSDT,LONG,2110.03,0.420133,True,normal,0.8,0.0,0.5,0.3539,0.4932,0.5314
2026-03-19T14:41:56.897370+00:00,SOLUSDT,LONG,87.64,0.413082,True,normal,0.8,0.0,0.5,0.3564,0.4993,0.4667
2026-03-19T14:48:06.105695+00:00,BTCUSDT,LONG,69206.8,0.431172,True,normal,0.8,0.0,0.5,0.3553,0.4932,0.6107
2026-03-19T14:48:06.105695+00:00,ETHUSDT,LONG,2111.95,0.420346,True,normal,0.8,0.0,0.5,0.3546,0.4932,0.5317
2026-03-19T14:48:06.105695+00:00,SOLUSDT,LONG,87.58,0.413296,True,normal,0.8,0.0,0.5,0.3574,0.4993,0.4667
2026-03-19T14:53:43.624840+00:00,BTCUSDT,LONG,69341.3,0.431172,True,normal,0.8,0.0,0.5,0.3553,0.4932,0.6107
2026-03-19T14:53:43.624840+00:00,ETHUSDT,LONG,2122.17,0.420346,True,normal,0.8,0.0,0.5,0.3546,0.4932,0.5317
2026-03-19T14:53:43.624840+00:00,SOLUSDT,LONG,87.95,0.413296,True,normal,0.8,0.0,0.5,0.3574,0.4993,0.4667
2026-03-19T14:59:29.385133+00:00,ETHUSDT,LONG,2126.0,0.420238,True,normal,0.8,0.0,0.5,0.3539,0.4933,0.5321
2026-03-19T14:59:29.385133+00:00,SOLUSDT,LONG,88.21,0.413314,True,normal,0.8,0.0,0.5,0.3573,0.4993,0.467
2026-03-19T15:05:13.260406+00:00,ETHUSDT,LONG,2123.58,0.420238,True,normal,0.8,0.0,0.5,0.3539,0.4933,0.5321
2026-03-19T15:05:13.260406+00:00,SOLUSDT,LONG,88.3,0.413356,True,normal,0.8,0.0,0.5,0.3573,0.4993,0.4673
2026-03-19T15:11:01.646060+00:00,ETHUSDT,LONG,2127.45,0.425384,True,normal,0.8,0.0,0.5,0.3766,0.4935,0.5321
2026-03-19T15:16:23.812401+00:00,ETHUSDT,LONG,2127.98,0.425384,True,normal,0.8,0.0,0.5,0.3766,0.4935,0.5321
2026-03-19T15:22:00.088056+00:00,ETHUSDT,LONG,2119.38,0.42764,True,normal,0.8,0.0,0.5,0.3865,0.4936,0.5321
2026-03-19T15:22:00.088056+00:00,SOLUSDT,LONG,87.88,0.412483,True,normal,0.8,0.0,0.5,0.355,0.4994,0.4645
2026-03-19T15:27:21.276646+00:00,BTCUSDT,LONG,69273.9,0.431519,True,normal,0.8,0.0,0.5,0.3557,0.4936,0.6121
2026-03-19T15:27:21.276646+00:00,ETHUSDT,LONG,2114.93,0.42764,True,normal,0.8,0.0,0.5,0.3865,0.4936,0.5321
2026-03-19T15:27:21.276646+00:00,SOLUSDT,LONG,87.71,0.412483,True,normal,0.8,0.0,0.5,0.355,0.4994,0.4645
2026-03-19T15:33:26.626451+00:00,BTCUSDT,LONG,69195.6,0.431314,True,normal,0.8,0.0,0.5,0.355,0.4934,0.6121
2026-03-19T15:33:26.626451+00:00,ETHUSDT,LONG,2111.53,0.420494,True,normal,0.8,0.0,0.5,0.3549,0.4934,0.5321
2026-03-19T15:33:26.626451+00:00,SOLUSDT,LONG,87.86,0.41362,True,normal,0.8,0.0,0.5,0.3562,0.4994,0.471
2026-03-19T15:39:02.714356+00:00,BTCUSDT,LONG,69221.4,0.431314,True,normal,0.8,0.0,0.5,0.355,0.4934,0.6121
2026-03-19T15:39:02.714356+00:00,ETHUSDT,LONG,2113.49,0.420494,True,normal,0.8,0.0,0.5,0.3549,0.4934,0.5321
2026-03-19T15:39:02.714356+00:00,SOLUSDT,LONG,87.83,0.41362,True,normal,0.8,0.0,0.5,0.3562,0.4994,0.471
2026-03-19T15:44:42.591789+00:00,BTCUSDT,LONG,68992.5,0.431589,True,normal,0.8,0.0,0.5,0.3562,0.4934,0.6121
2026-03-19T15:44:42.591789+00:00,ETHUSDT,LONG,2108.45,0.42057,True,normal,0.8,0.0,0.5,0.3552,0.4934,0.5321
2026-03-19T15:44:42.591789+00:00,SOLUSDT,LONG,87.6,0.413858,True,normal,0.8,0.0,0.5,0.3573,0.4994,0.471
2026-03-19T15:50:37.628454+00:00,BTCUSDT,LONG,69147.6,0.431589,True,normal,0.8,0.0,0.5,0.3562,0.4934,0.6121
2026-03-19T15:50:37.628454+00:00,ETHUSDT,LONG,2114.23,0.42057,True,normal,0.8,0.0,0.5,0.3552,0.4934,0.5321
2026-03-19T15:50:37.628454+00:00,SOLUSDT,LONG,87.46,0.413397,True,normal,0.8,0.0,0.5,0.3573,0.4994,0.4676
2026-03-19T15:56:23.880128+00:00,ETHUSDT,LONG,2116.9,0.419988,True,normal,0.8,0.0,0.5,0.3527,0.4933,0.5321
2026-03-19T15:56:23.880128+00:00,SOLUSDT,LONG,87.61,0.412432,True,normal,0.8,0.0,0.5,0.353,0.4994,0.4676
2026-03-19T16:01:53.324516+00:00,ETHUSDT,LONG,2116.44,0.419988,True,normal,0.8,0.0,0.5,0.3527,0.4933,0.5321
2026-03-19T16:01:53.324516+00:00,SOLUSDT,LONG,87.49,0.412432,True,normal,0.8,0.0,0.5,0.353,0.4994,0.4676
2026-03-19T16:07:45.960498+00:00,ETHUSDT,LONG,2114.87,0.420841,True,normal,0.8,0.0,0.5,0.3562,0.4937,0.5321
2026-03-19T16:07:45.960498+00:00,SOLUSDT,LONG,87.61,0.413005,True,normal,0.8,0.0,0.5,0.3555,0.4994,0.4676
2026-03-19T16:13:09.384741+00:00,ETHUSDT,LONG,2112.8,0.420841,True,normal,0.8,0.0,0.5,0.3562,0.4937,0.5321
2026-03-19T16:13:09.384741+00:00,SOLUSDT,LONG,87.5,0.413005,True,normal,0.8,0.0,0.5,0.3555,0.4994,0.4676
2026-03-19T16:19:00.727051+00:00,ETHUSDT,LONG,2112.32,0.420428,True,normal,0.8,0.0,0.5,0.3543,0.4937,0.5321
2026-03-19T16:19:00.727051+00:00,SOLUSDT,LONG,87.2,0.412779,True,normal,0.8,0.0,0.5,0.3545,0.4994,0.4676
2026-03-19T16:24:32.493224+00:00,ETHUSDT,LONG,2106.5,0.420428,True,normal,0.8,0.0,0.5,0.3543,0.4937,0.5321
