symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
SOLUSDT,1776474000,1776475800,89.046706,88.823345,1.68263451,-0.37583493,0.14964514,-0.52548007,signal
SOLUSDT,1776477600,1776479400,88.856649,88.893324,1.68616266,0.06184002,0.14985768,-0.08801767,signal
SOLUSDT,1776486600,1776487500,88.406514,88.303501,1.69470765,-0.17457692,0.14973591,-0.32431283,signal
BTCUSDT,1776486600,1776489300,77042.00567,77101.8625,0.00194472,0.11640502,0.14988365,-0.03347863,signal
ETHUSDT,1776486600,1776489300,2405.381398,2407.327585,0.06228714,0.12122242,0.14988493,-0.02866252,signal
SOLUSDT,1776490200,1776494700,88.32649,88.423465,1.69620288,0.16448927,0.14990189,0.01458738,signal
BTCUSDT,1776503700,1776505500,76559.36092,76537.13197,0.00195691,-0.04350008,0.14979812,-0.19329819,signal
ETHUSDT,1776503700,1776505500,2377.352992,2373.867626,0.06301914,-0.21964477,0.14970892,-0.36935369,signal
SOLUSDT,1776503700,1776506400,87.486238,87.053876,1.71247069,-0.74040725,0.14944741,-0.88985466,signal
SOLUSDT,1776512700,1776514500,86.515947,86.693984,1.73145048,0.30826225,0.14995221,0.15831004,signal
ETHUSDT,1776515400,1776517200,2356.096617,2353.503737,0.06357993,-0.16485512,0.14971802,-0.31457315,signal
SOLUSDT,1776515400,1776517200,86.766022,86.77396,1.72647455,0.01370475,0.14980618,-0.13610143,signal
ETHUSDT,1776525300,1776526200,2363.60887,2359.531928,0.06337499,-0.25837616,0.1496645,-0.40804067,signal
BTCUSDT,1776527100,1776528900,76162.14179,76027.78482,0.00196669,-0.26423895,0.14965545,-0.4138944,signal
SOLUSDT,1776527100,1776528900,86.72601,86.713978,1.7271096,-0.02078058,0.14977493,-0.17055552,signal
ETHUSDT,1776527100,1776529800,2362.688594,2361.961199,0.06339661,-0.04611438,0.14976339,-0.19587777,signal
SOLUSDT,1776530700,1776531600,86.655989,86.534032,1.72839602,-0.21078999,0.14967047,-0.36046047,signal
SOLUSDT,1776533400,1776534300,86.736013,86.67399,1.72673904,-0.10709754,0.14971691,-0.25681445,signal
SOLUSDT,1776537900,1776539700,86.055809,86.124155,1.7403428,0.11894547,0.14982608,-0.03088061,signal
ETHUSDT,1776542400,1776543300,2348.914463,2346.405867,0.06375925,-0.1599462,0.14968505,-0.30963124,signal
SOLUSDT,1776541500,1776543300,86.105824,86.034182,1.73932653,-0.12460883,0.14970384,-0.27431267,signal
SOLUSDT,1776546900,1776547800,86.195851,86.104161,1.73740828,-0.15930297,0.14967773,-0.3089807,signal
ETHUSDT,1776547800,1776549600,2351.365198,2347.265609,0.06368907,-0.26109901,0.14962571,-0.41072472,signal
SOLUSDT,1776548700,1776549600,86.185848,85.954206,1.73754312,-0.40248796,0.14955038,-0.55203835,signal
SOLUSDT,1776567600,1776570300,85.615677,85.514338,1.748959,-0.17723776,0.14964969,-0.32688745,signal
ETHUSDT,1776575700,1776577500,2333.079714,2330.540628,0.06417844,-0.16295457,0.14965193,-0.3126065,signal
ETHUSDT,1776585600,1776586500,2316.154638,2313.875629,0.0646449,-0.14732632,0.14965393,-0.29698025,signal
SOLUSDT,1776583800,1776586500,84.755419,84.784557,1.76659756,0.05147512,0.14975445,-0.09827933,signal
ETHUSDT,1776587400,1776588300,2318.215256,2316.424864,0.06458537,-0.11563313,0.14966497,-0.2652981,signal
BTCUSDT,1776590100,1776591000,75153.63933,75003.4922,0.00199217,-0.29911857,0.14956925,-0.44868782,signal
SOLUSDT,1776590100,1776591000,84.805434,84.664593,1.76542561,-0.24864431,0.14959336,-0.39823767,signal
ETHUSDT,1776592800,1776597300,2309.582667,2323.292803,0.06481955,0.88868482,0.15015045,0.73853437,signal
SOLUSDT,1776592800,1776597300,84.615377,85.194434,1.76924085,1.0244913,0.15021723,0.87427407,signal
BTCUSDT,1776596400,1776600900,75352.09885,75452.05759,0.00198672,0.19859047,0.14980315,0.04878732,signal
BTCUSDT,1776609000,1776610800,75943.67627,75926.2153,0.00197161,-0.03442616,0.14971382,-0.18413997,signal
ETHUSDT,1776618000,1776618900,2312.763621,2309.80685,0.06473998,-0.19142129,0.14963256,-0.34105385,signal
BTCUSDT,1776621600,1776622500,74942.476,74749.76834,0.00199784,-0.38499926,0.14953065,-0.53452991,signal
ETHUSDT,1776621600,1776622500,2295.6885,2293.661695,0.06521879,-0.13218577,0.14965593,-0.28184171,signal
SOLUSDT,1776621600,1776622500,85.155539,85.07447,1.75820512,-0.14253593,0.14964964,-0.29218557,signal
ETHUSDT,1776624300,1776626100,2295.28838,2298.180339,0.0652234,0.18862341,0.14980083,0.03882258,signal
